"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\blocs\chat_bloc.dart", "Dart", 73, 1, 11, 85
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\blocs\crypto_coin_bloc.dart", "Dart", 62, 0, 14, 76
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\blocs\navigation_service.dart", "Dart", 6, 0, 3, 9
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\blocs\notification_bloc.dart", "Dart", 21, 0, 5, 26
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\blocs\order_bloc.dart", "Dart", 53, 0, 11, 64
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\blocs\ranking_bloc.dart", "Dart", 19, 0, 6, 25
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\blocs\user_balance_bloc.dart", "Dart", 42, 0, 9, 51
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\blocs\user_bloc.dart", "Dart", 46, 0, 9, 55
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\logged_in_widget.dart", "Dart", 40, 1, 3, 44
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\main.dart", "Dart", 29, 0, 3, 32
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\models\crypto\ciphers.dart", "Dart", 10, 0, 3, 13
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\models\crypto_data.dart", "Dart", 71, 1, 5, 77
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\models\logged_user_model.dart", "Dart", 14, 0, 5, 19
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\models\message_model.dart", "Dart", 53, 6, 12, 71
